country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
EST,1955,1,short,1,0,6417.81511,700.852306,110.097004,43.038723,44.013527,88.029839,211.156747,184.089546,134.058087,107.046388,163.051695,284.090111,417.078577,454.08559,584.021332,683.024911,723.026324,694.025309,491.017931,302.010982,.,.,.,.,.,.
EST,1955,1,interm,1,1,60.01495,47.9081,6.587419,0.189699,0.282576,0,0,1.0496,0.041151,0.032859,0.027453,0.047831,0.776477,0.845373,0.373952,0.437344,0.462959,0.444387,0.314401,0.193378,.,.,.,.,.,.
EST,1955,1,interm,1,2,77.86532,69.9011,5.438803,0.163272,0.243208,0,0,0,0,0,0,0,0.19435,0.211595,0.287717,0.336489,0.356197,0.341909,0.241898,0.148784,.,.,.,.,.,.
EST,1955,1,interm,1,3,549.1697,9.192711,9.367882,1.215988,4.538593,12.98567,27.98412,44.0832,32.49873,25.95048,32.70922,56.99031,72.07238,78.4673,23.70148,27.71936,29.34275,28.16579,19.92709,12.25658,.,.,.,.,.,.
EST,1955,1,interm,1,4,11.35744,8.171299,0,0,0,0,0,0,0,0,0.396355,0.690583,0,0,0.352584,0.412354,0.436503,0.418995,0.296437,0.182329,.,.,.,.,.,.
EST,1955,1,interm,1,5,26.75796,6.468925,7.555001,5.549004,0.644109,1.131319,0.03434,0.03174,0.697344,0.556834,0.486865,0.848282,0.550975,0.599863,0.2693,0.314954,0.333398,0.320025,0.226416,0.139262,.,.,.,.,.,.
EST,1955,1,interm,1,6,0.000173,6e-06,6.4e-05,1e-06,2e-06,1e-06,1e-06,1e-06,1.9e-05,1.6e-05,1.3e-05,2.3e-05,0,0,5e-06,5e-06,6e-06,5e-06,3e-06,2e-06,.,.,.,.,.,.
EST,1955,1,interm,1,7,10.85509,0.157288,0.181889,0.522435,0.696893,0.196284,0.278357,0.245534,0.182163,0.145458,0.094241,0.164198,0.699432,0.761493,1.096689,1.2826,1.357715,1.303255,0.922044,0.567123,.,.,.,.,.,.
EST,1955,1,interm,1,8,14.05096,4.015609,2.663168,0.798643,1.896346,1.024283,0.311284,0.310272,0.715906,0.571654,0.341714,0.595377,0,0,0.148934,0.174182,0.184381,0.139643,0.098799,0.060767,.,.,.,.,.,.
EST,1955,1,interm,1,9,18.38238,0.412479,0.13672,0.575103,1.240879,0.349437,0.74174,0.739328,0.977501,0.701655,1.620977,2.824281,1.587789,1.728672,0.797113,0.932241,0.986838,0.947253,0.670173,0.412203,.,.,.,.,.,.
