country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
LTU,1956,1,short,1,0,11041.96464,1621.22996,230.245929,107.095138,119.071947,201.170812,249.167366,312.16084,262.209287,242.193295,309.199855,541.349984,787.400747,849.432285,975.568525,927.540621,979.570837,919.535915,709.413483,698.407059,.,.,.,.,.,.
LTU,1956,1,interm,1,1,43.02756,30.56411,2.859328,0,0,0,0.077153,0,0.582051,0.53762,1.081149,1.892889,1.171942,1.264267,0.561192,0.533564,0.563495,0.528958,0.408087,0.401757,.,.,.,.,.,.
LTU,1956,1,interm,1,2,72.68543,62.47968,3.653733,0.122523,0.224067,0.662095,0,0,0,0,0.472637,0.827494,0,0,0.794532,0.755417,0.797792,0.748898,0.57777,0.568803,.,.,.,.,.,.
LTU,1956,1,interm,1,3,959.3198,17.4343,29.83964,8.731372,9.137809,22.63385,35.64591,62.09457,50.05642,46.23531,45.20321,79.1422,115.4363,124.5304,58.64577,55.75859,58.88638,55.27741,42.64599,41.98436,.,.,.,.,.,.
LTU,1956,1,interm,1,4,31.07256,18.29068,1.890665,0.292531,0.322914,0.403847,0,0,1.164103,1.075239,0.430506,0.753736,1.171942,1.264267,0.751263,0.714278,0.754346,0.708113,0.546304,0.537827,.,.,.,.,.,.
LTU,1956,1,interm,1,5,55.7709,24.04197,12.0751,2.690977,5.164185,2.137923,0.184285,1.208958,0.150446,0.138961,1.000109,1.750996,0.73743,0.795526,0.691698,0.657647,0.694537,0.651969,0.502989,0.495184,.,.,.,.,.,.
LTU,1956,1,interm,1,6,0.002097,0.000744,0.000475,0.000233,0.000195,0.000176,8.5e-05,4e-06,3.8e-05,3.6e-05,3e-05,5.1e-05,5e-06,5e-06,4e-06,3e-06,4e-06,3e-06,3e-06,3e-06,.,.,.,.,.,.
LTU,1956,1,interm,1,7,28.38634,1.449981,2.924778,0.324782,0.324543,0.639036,1.558833,4.398507,1.230346,1.136426,0.458752,0.803187,2.343883,2.682392,1.446471,1.459811,1.541699,1.447213,1.116512,1.09919,.,.,.,.,.,.
LTU,1956,1,interm,1,8,57.28482,24.28672,13.97063,4.486952,4.748568,3.688505,1.420452,0.318707,0.855648,0.79033,0.581842,1.018692,0.223538,0.241147,0.161205,0.153272,0.161867,0.069837,0.053877,0.053043,.,.,.,.,.,.
LTU,1956,1,interm,1,9,23.44841,0.785663,0.602577,0.24765,0.271623,0.267951,0.385364,0.005373,0.891748,0.610365,2.211865,3.872551,2.935737,3.167014,1.346864,1.280554,1.352388,1.269503,0.979409,0.964212,.,.,.,.,.,.
LTU,1956,1,interm,1,10,20.41323,0,0,0,0,0,0,0,0.450508,0.416118,0.72196,1.264014,2.418888,2.609449,2.346645,2.231119,2.356272,2.211863,1.706433,1.679958,.,.,.,.,.,.
LTU,1956,1,interm,1,11,6.044261,0,0,0,0,0,0,0,0,0,0.215253,0.376867,0.878956,0.948201,0.678771,0.645354,0.681556,0.639785,0.493588,0.48593,.,.,.,.,.,.
LTU,1956,1,interm,1,12,695.4769,0,0,0,0,0,0.608952,5.825691,6.027963,5.567814,22.96257,40.20308,83.08288,89.62817,82.68301,78.61247,83.02223,77.93405,60.12539,59.19257,.,.,.,.,.,.
LTU,1956,1,interm,1,13,32.42554,0,0,0,0,0,0,0,0.578326,0.634605,1.101032,1.927697,3.68895,3.979567,3.84146,3.652342,3.857221,3.620822,2.793431,2.750092,.,.,.,.,.,.
LTU,1956,1,interm,1,14,12.72812,0,0,0,0,0,0,0,0.465641,0.430096,0,0,2.343885,2.528535,1.303239,1.23908,1.308587,1.228386,0.947689,0.932986,.,.,.,.,.,.
LTU,1956,1,interm,1,15,27.31675,0,0,0.127255,0.232719,0,0,0,0.340636,0.314633,0.545886,0.955741,1.828961,1.973046,3.931809,3.738243,3.947939,3.705982,2.85913,2.814771,.,.,.,.,.,.
LTU,1956,1,interm,1,16,71.74454,0,0,0.299668,0.548025,0,0,0,0.802155,0.740921,1.285491,2.250649,4.306968,4.646271,10.64774,10.12355,10.69142,10.03618,7.742817,7.622691,.,.,.,.,.,.
LTU,1956,1,interm,1,17,29.27071,0,0,0.124644,0.227947,0,0,0,0.526425,0.385813,0.669382,1.17196,2.24273,2.419413,4.026279,3.828063,4.042797,3.795025,2.927827,2.882402,.,.,.,.,.,.
LTU,1956,1,interm,1,18,35.86822,0,0,0,0,0,0,0,0,0,1.095209,1.917502,3.975228,4.288396,4.604779,4.378083,4.623671,4.3403,3.3485,3.296549,.,.,.,.,.,.
LTU,1956,1,interm,1,19,258.1041,0,0,0,0,0,1.113935,1.070596,1.164103,1.075239,6.653913,11.64973,32.35497,34.90391,31.45955,29.91077,31.58861,29.65264,22.92295,22.58323,.,.,.,.,.,.
LTU,1956,1,interm,1,20,2.856474,0,0.071417,0.060357,0.045499,0.033611,0.033975,0.032654,0.017752,0.016397,0.065652,0.114945,0.764693,0.824934,0.14504,0.1379,0.145635,0.136709,0.10547,0.103834,.,.,.,.,.,.
LTU,1956,1,interm,1,21,4.013922,0,0,0,0,0,1.113935,0,0,0,0,0,0,0,0.543017,0.516283,0.545244,0.511827,0.394871,0.388745,.,.,.,.,.,.
LTU,1956,1,interm,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LTU,1956,1,interm,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LTU,1956,1,interm,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LTU,1956,1,interm,1,25,52.06219,0,0.159827,0.114406,0.209223,0,0,0.300302,0.163266,0.150802,0.362271,0.634268,2.03039,2.190344,8.566048,8.144337,8.601192,8.07405,6.229053,6.132412,.,.,.,.,.,.
LTU,1956,1,interm,1,26,17.58958,0,0.2735,0.195775,0.35803,0,0,0.513886,0.279385,0.258057,0.619929,1.085379,2.953294,3.185955,1.472967,1.400451,1.479009,1.388365,1.07111,1.054493,.,.,.,.,.,.
LTU,1956,1,interm,1,27,32.9824,1.617214,0.655445,0.345349,0.500655,0.188486,0,0.485237,0.263809,0.243671,0.585368,1.024869,2.788648,3.008338,3.983758,3.787636,4.000102,3.754947,2.896907,2.851962,.,.,.,.,.,.
LTU,1956,1,interm,1,28,40.31182,1.976595,0.801102,0.422094,0.611913,0.230371,0,0.593067,0.322433,0.29782,0.71545,1.252618,3.408348,3.676858,4.869037,4.629332,4.889014,4.58938,3.540663,3.485731,.,.,.,.,.,.
LTU,1956,1,interm,1,29,23.14678,0,0.497095,0.412989,0.353675,0.571388,0.210297,0.871189,0.47364,0.437485,1.440981,2.522881,2.938939,3.170471,1.731248,1.646018,1.73835,1.631812,1.258927,1.239395,.,.,.,.,.,.
LTU,1956,1,interm,1,30,71.83597,0,3.867414,0.530227,1.515289,4.490742,1.846347,3.367025,2.721091,2.513372,3.823976,6.695051,14.07063,15.17912,2.100116,1.996726,2.108732,1.979494,1.527161,1.503467,.,.,.,.,.,.
LTU,1956,1,interm,1,31,35.363,0.663385,2.193527,0.285508,0.815926,2.418091,1.169632,0.749417,1.746155,1.612858,1.831571,3.206728,4.983361,5.375951,1.556198,1.479585,1.562581,1.466816,1.131632,1.114076,.,.,.,.,.,.
LTU,1956,1,interm,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LTU,1956,1,interm,1,33,65.33618,0,1.802937,1.593328,1.313126,1.099305,0.838238,1.302877,0.908874,0.839494,2.710072,4.74482,6.848236,7.387741,6.376686,6.062757,6.402846,6.010437,4.590777,4.503627,.,.,.,.,.,.
LTU,1956,1,interm,1,34,35.80377,0,0.074279,0.224858,0.351207,0.499741,0.35725,1.366717,0.783787,0.723955,1.66505,2.915185,6.20364,6.692366,2.61131,2.482754,2.622024,2.461327,1.898892,1.869431,.,.,.,.,.,.
