country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
LVA,1956,1,short,1,0,9712.28662,690.183244,124.008092,97.013567,82.031966,141.141765,229.316571,257.459126,175.418033,172.234301,291.223123,429.328911,631.292924,595.276293,814.331439,1029.41903,1164.47403,1165.474387,934.380425,688.280195,.,.,.,.,.,.
LVA,1956,1,interm,1,1,14.60429,12.35632,0.682228,0,0,0.145576,0,0,0.073192,0.071941,0.002696,0.003974,0.247971,0.233823,0.110505,0.139695,0.158018,0.158156,0.126796,0.0934,.,.,.,.,.,.
LVA,1956,1,interm,1,2,10.89892,10.39913,0.324525,0,0,0,0,0,0,0,0.013254,0.019541,0.008732,0.008234,0.017631,0.02229,0.025214,0.025237,0.020232,0.014903,.,.,.,.,.,.
LVA,1956,1,interm,1,3,638.4733,12.01109,7.246458,2.735535,3.579709,10.4288,26.85162,45.15824,32.03915,31.49144,46.06502,67.91028,65.33628,61.6087,31.75232,40.13899,45.40503,45.44404,36.43325,26.83734,.,.,.,.,.,.
LVA,1956,1,interm,1,4,32.74987,19.89,0,2.055796,0,0,0.50526,0,0.52837,0.519337,0.4258,0.627724,2.156122,2.03311,0.563135,0.711874,0.805268,0.80596,0.646151,0.475967,.,.,.,.,.,.
LVA,1956,1,interm,1,5,34.57999,7.293814,8.22376,7.950625,3.947861,2.107817,0.182742,0,0.392163,0.311464,0.501261,0.738972,0.318429,0.300262,0.324648,0.410397,0.464237,0.464637,0.372506,0.274394,.,.,.,.,.,.
LVA,1956,1,interm,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LVA,1956,1,interm,1,7,15.85493,0.100979,0.299234,0.543932,0.464758,1.55347,0.981589,1.394164,0.513254,0.50448,0.498333,0.734656,0.801905,0.756153,0.942412,1.191329,1.347625,1.348783,1.081343,0.796535,.,.,.,.,.,.
LVA,1956,1,interm,1,8,28.70212,5.026914,7.524531,1.837482,0.800586,3.44643,2.187417,3.66366,0.52913,0.520083,0.090939,0.134066,0.854682,0.805919,0.212975,0.269228,0.304548,0.206301,0.165395,0.121831,.,.,.,.,.,.
LVA,1956,1,interm,1,9,22.83433,0.283241,1.093319,0.214372,0.074138,0.692817,0.268105,0.529714,0.263458,0.147967,1.280534,1.887797,3.315507,3.126348,1.356715,1.715065,1.940067,1.941737,1.556723,1.146705,.,.,.,.,.,.
LVA,1956,1,interm,1,10,19.96137,0,0,0,0,0,0.116003,0.117939,0.118884,0.11685,0.431122,0.635571,2.122433,2.001343,2.009182,2.539863,2.87308,2.875549,2.305376,1.698179,.,.,.,.,.,.
LVA,1956,1,interm,1,11,43.36109,0,0,0,0,0,0,0.419338,0.211348,0.207735,0.68128,1.004359,2.156121,2.033112,5.148655,6.508557,7.362449,7.368774,5.907671,4.351688,.,.,.,.,.,.
LVA,1956,1,interm,1,12,606.9266,0,0,0,0,0,1.031142,2.725694,5.072349,4.985637,25.71828,37.91457,65.22269,61.50159,56.58308,71.52821,80.91239,80.98191,64.92456,47.82451,.,.,.,.,.,.
LVA,1956,1,interm,1,13,47.27223,0,0,0,0,0,0.221953,0.618785,0.227463,0.265606,0.979956,1.444679,5.664857,5.341666,4.566951,5.77321,6.530628,6.536239,5.240213,3.860027,.,.,.,.,.,.
LVA,1956,1,interm,1,14,35.70198,0,0,0,0,0,0,1.572516,0,0,0,0,2.82991,2.668458,4.022387,5.084811,5.751914,5.756856,4.615368,3.399756,.,.,.,.,.,.
LVA,1956,1,interm,1,15,28.68073,0.019509,0.047053,0.027966,0.007057,0.020502,0.134986,0.209078,0.211032,0.207425,0.642596,0.947333,2.842324,2.680163,2.905858,3.673376,4.155305,4.158875,3.334241,2.456057,.,.,.,.,.,.
LVA,1956,1,interm,1,16,78.93781,0.053696,0.129505,0.07697,0.019421,0.056429,0.37152,0.575444,0.580823,0.570893,1.768614,2.607338,7.822912,7.376597,7.997774,10.11021,11.43662,11.44645,9.176808,6.75979,.,.,.,.,.,.
LVA,1956,1,interm,1,17,23.1116,0.011634,0.028059,0.016677,0.004208,0.012226,0.15448,0.330942,0.201666,0.156186,0.503082,0.741657,2.387972,2.251733,2.291547,2.896808,3.276855,3.27967,2.629366,1.936836,.,.,.,.,.,.
LVA,1956,1,interm,1,18,32.72006,0,0,0,0,0,0,0,0.295719,0.290662,1.191556,1.756624,2.413476,2.275783,3.44148,4.350471,4.921233,4.925461,3.948826,2.908771,.,.,.,.,.,.
LVA,1956,1,interm,1,19,320.7115,0,0,0.103452,0.092262,0,1.020831,0,1.278021,1.256173,10.62965,15.67052,50.02176,47.16791,27.18076,34.35996,38.86782,38.90121,31.18776,22.97342,.,.,.,.,.,.
LVA,1956,1,interm,1,20,6.612045,0,0.094946,0.016687,0.014882,0,0,0.127898,0.048346,0.047518,0.03896,0.057437,0.082202,0.077512,0.843736,1.066591,1.206521,1.207557,0.968119,0.713133,.,.,.,.,.,.
LVA,1956,1,interm,1,21,1.145243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160895,0.203393,0.230076,0.230274,0.184614,0.135991,.,.,.,.,.,.
LVA,1956,1,interm,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LVA,1956,1,interm,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LVA,1956,1,interm,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LVA,1956,1,interm,1,25,69.99205,0.360707,0.381086,0.37077,0,0.379066,0,0,0.507416,0.498743,1.090437,1.60755,3.796134,3.579556,8.067028,10.19775,11.53565,11.54556,9.256271,6.818322,.,.,.,.,.,.
LVA,1956,1,interm,1,26,9.439769,0.040593,0.042887,0.041725,0,0.042659,0,0,0.128688,0.126488,0.276549,0.407697,0.96275,0.907825,0.907835,1.147619,1.29818,1.299296,1.041668,0.76731,.,.,.,.,.,.
LVA,1956,1,interm,1,27,35.06776,0.126114,0.133238,0.129632,0,0.132533,0,0,0.199904,0.196487,0.429592,0.633316,1.495539,1.410216,4.24016,5.360104,6.063323,6.068535,4.865246,3.583821,.,.,.,.,.,.
LVA,1956,1,interm,1,28,48.69886,0.297086,0.313872,0.305374,0,0.312207,0,0,0.470914,0.462864,1.011994,1.491907,3.523049,3.322052,5.224483,6.604415,7.470881,7.477301,5.994678,4.41578,.,.,.,.,.,.
LVA,1956,1,interm,1,29,27.41646,0.036983,0.87091,0.286929,0.221987,0.038865,0,1.049082,0.637192,0.626299,1.145975,1.689427,2.265967,2.13669,2.305465,2.914402,3.296758,3.299591,2.645338,1.9486,.,.,.,.,.,.
LVA,1956,1,interm,1,30,45.85683,0.63096,0.63096,2.717155,2.337026,4.891464,1.770927,0.593698,0.617983,0.607418,2.442864,3.601335,3.712976,3.501143,2.500855,3.161401,3.57616,3.579232,2.869532,2.113744,.,.,.,.,.,.
LVA,1956,1,interm,1,31,29.98018,0.36904,0.36904,1.72317,1.464399,2.8911,1.417785,0.454646,0.536407,0.527238,1.972519,2.907939,3.004446,2.833033,1.335979,1.688848,1.910417,1.91206,1.532932,1.129182,.,.,.,.,.,.
LVA,1956,1,interm,1,32,2.040294,0.002752,0.064812,0.021353,0.01652,0.002892,0,0.078071,0.047419,0.046608,0.085282,0.125724,0.16863,0.15901,0.171569,0.216886,0.24534,0.245551,0.196863,0.145012,.,.,.,.,.,.
LVA,1956,1,interm,1,33,59.0753,0.044905,1.921352,0.931726,0.789772,0.047191,0.042509,2.487873,1.245179,1.223896,1.89655,2.795947,4.906083,4.626182,5.07396,6.414137,7.255639,7.261875,5.821969,4.288559,.,.,.,.,.,.
LVA,1956,1,interm,1,34,68.38338,0.00602,1.198275,0.339958,0.866657,0.484006,1.031142,2.267468,2.25525,2.216697,1.722837,2.539853,4.797553,4.523843,6.200371,7.838057,8.866372,8.87399,7.114426,5.240603,.,.,.,.,.,.
LVA,1956,1,interm,1,35,12.22861,2.282,0.326,0.547107,0.487925,1.050897,0,1.048344,0.52837,0.519337,0.4258,0.627724,1.078061,1.016555,0.321791,0.406785,0.460153,0.460548,0.369229,0.27198,.,.,.,.,.,.
LVA,1956,1,interm,1,36,1.38417,0.386803,0.113274,0,0,0.015711,0.034673,0.010657,0,0,0.018646,0.02749,0.154277,0.145475,0.067037,0.084743,0.095861,0.095944,0.076919,0.05666,.,.,.,.,.,.
LVA,1956,1,interm,1,37,16.56,3.455355,0.719044,0,0,0.09973,0.220099,0.067652,0,0,0.118366,0.174497,1.518354,1.431729,1.230017,1.554899,1.758893,1.760404,1.411345,1.039621,.,.,.,.,.,.
