Greece, Life expectancy at birth (period, 1x1)	Last modified: 27 Jan 2020;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1981        78.04    73.39    75.73
  1982        78.26    73.44    75.85
  1983        78.05    73.28    75.67
  1984        78.57    73.68    76.13
  1985        78.42    73.40    75.90
  1986        78.81    73.98    76.39
  1987        78.58    73.82    76.20
  1988        79.30    74.27    76.78
  1989        79.53    74.47    77.00
  1990        79.63    74.66    77.14
  1991        79.86    74.66    77.25
  1992        79.77    74.62    77.18
  1993        80.07    74.86    77.45
  1994        80.31    75.03    77.66
  1995        80.40    74.90    77.63
  1996        80.57    75.00    77.76
  1997        80.88    75.37    78.10
  1998        80.75    75.44    78.08
  1999        80.94    75.46    78.18
  2000        81.18    75.52    78.32
  2001        81.60    75.97    78.75
  2002        81.69    76.23    78.94
  2003        81.83    76.40    79.09
  2004        82.05    76.50    79.25
  2005        82.33    76.66    79.47
  2006        82.58    76.99    79.77
  2007        82.46    76.81    79.61
  2008        82.95    77.39    80.15
  2009        83.20    77.45    80.30
  2010        83.23    77.89    80.55
  2011        83.44    77.92    80.67
  2012        83.27    77.86    80.56
  2013        83.76    78.48    81.12
  2014        83.88    78.54    81.22
  2015        83.59    78.31    80.95
  2016        83.75    78.63    81.20
  2017        83.70    78.60    81.16
