Japan, Life expectancy at birth (period, 1x1)	Last modified: 21 Nov 2020;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1947        53.69    49.83    51.73
  1948        58.66    55.04    56.85
  1949        59.46    55.98    57.72
  1950        60.89    57.57    59.24
  1951        62.62    59.31    60.97
  1952        64.68    61.27    62.98
  1953        65.09    61.56    63.32
  1954        66.58    62.49    64.53
  1955        67.78    63.64    65.70
  1956        67.68    63.45    65.55
  1957        67.63    63.29    65.42
  1958        69.32    64.77    67.03
  1959        69.80    65.13    67.44
  1960        70.15    65.32    67.70
  1961        70.84    65.92    68.35
  1962        71.14    66.21    68.64
  1963        72.29    67.21    69.72
  1964        72.76    67.64    70.17
  1965        72.85    67.69    70.24
  1966        73.65    68.46    71.03
  1967        74.00    68.80    71.38
  1968        74.29    69.05    71.66
  1969        74.63    69.22    71.91
  1970        74.68    69.33    72.00
  1971        75.48    70.14    72.82
  1972        75.94    70.54    73.25
  1973        76.03    70.77    73.42
  1974        76.37    71.26    73.84
  1975        76.88    71.76    74.36
  1976        77.29    72.14    74.76
  1977        77.86    72.68    75.32
  1978        78.22    72.97    75.65
  1979        78.76    73.44    76.16
  1980        78.77    73.40    76.14
  1981        79.17    73.82    76.56
  1982        79.73    74.27    77.07
  1983        79.83    74.25    77.11
  1984        80.26    74.61    77.51
  1985        80.55    74.90    77.80
  1986        80.98    75.28    78.22
  1987        81.43    75.65    78.63
  1988        81.33    75.59    78.55
  1989        81.80    75.97    78.98
  1990        81.87    75.95    79.00
  1991        82.17    76.16    79.26
  1992        82.30    76.14    79.30
  1993        82.45    76.27    79.45
  1994        82.90    76.59    79.84
  1995        82.78    76.42    79.68
  1996        83.50    77.04    80.36
  1997        83.74    77.25    80.59
  1998        83.92    77.22    80.66
  1999        83.92    77.18    80.63
  2000        84.53    77.69    81.20
  2001        84.86    78.04    81.54
  2002        85.16    78.30    81.83
  2003        85.26    78.35    81.89
  2004        85.51    78.63    82.17
  2005        85.43    78.52    82.06
  2006        85.72    78.94    82.42
  2007        85.90    79.13    82.60
  2008        85.97    79.23    82.68
  2009        86.35    79.53    83.02
  2010        86.26    79.53    82.97
  2011        85.88    79.43    82.73
  2012        86.39    79.93    83.23
  2013        86.59    80.20    83.47
  2014        86.81    80.49    83.72
  2015        87.01    80.76    83.96
  2016        87.17    80.99    84.15
  2017        87.31    81.11    84.27
  2018        87.36    81.27    84.37
  2019        87.49    81.44    84.51
