Slovenia, Life expectancy at birth (period, 1x1)	Last modified: 06 Dec 2018;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1983        74.88    66.78    70.86
  1984        75.28    67.23    71.31
  1985        75.81    67.56    71.74
  1986        76.13    68.26    72.27
  1987        76.22    68.07    72.21
  1988        76.79    68.81    72.89
  1989        77.24    69.24    73.34
  1990        77.69    69.76    73.83
  1991        77.38    69.43    73.49
  1992        77.47    69.56    73.61
  1993        77.55    69.33    73.50
  1994        77.70    70.01    73.94
  1995        78.32    70.72    74.63
  1996        78.85    71.07    75.07
  1997        78.99    71.07    75.10
  1998        79.05    71.22    75.21
  1999        79.27    71.73    75.59
  2000        79.75    72.17    76.05
  2001        80.27    72.24    76.33
  2002        80.46    72.56    76.58
  2003        80.33    72.51    76.47
  2004        80.73    73.47    77.20
  2005        80.89    73.96    77.52
  2006        81.79    74.38    78.14
  2007        81.78    74.61    78.25
  2008        82.24    75.42    78.90
  2009        82.28    75.75    79.08
  2010        82.62    76.27    79.52
  2011        82.86    76.64    79.82
  2012        82.90    76.97    80.00
  2013        83.17    77.00    80.13
  2014        83.66    77.95    80.87
  2015        83.50    77.59    80.59
  2016        83.86    77.94    80.93
  2017        83.68    78.08    80.93
