Japan, Life expectancy at birth (period, 1x5)	Last modified: 21 Nov 2020;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1947-1949     57.30    53.63    55.46
1950-1954     63.91    60.38    62.15
1955-1959     68.42    64.04    66.21
1960-1964     71.44    66.46    68.92
1965-1969     73.89    68.65    71.25
1970-1974     75.72    70.42    73.08
1975-1979     77.81    72.60    75.26
1980-1984     79.56    74.07    76.88
1985-1989     81.23    75.48    78.44
1990-1994     82.35    76.22    79.37
1995-1999     83.58    77.03    80.39
2000-2004     85.07    78.21    81.73
2005-2009     85.88    79.07    82.56
2010-2014     86.39    79.92    83.22
2015-2019     87.27    81.12    84.25
