Luxembourg, Life expectancy at birth (period, 1x5)	Last modified: 29 Oct 2020;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1960-1964     72.27    65.94    69.00
1965-1969     73.01    66.54    69.68
1970-1974     73.68    66.77    70.13
1975-1979     75.04    67.80    71.36
1980-1984     76.11    69.37    72.77
1985-1989     77.86    70.73    74.34
1990-1994     78.81    72.29    75.63
1995-1999     79.94    73.60    76.84
2000-2004     81.10    75.00    78.11
2005-2009     82.25    77.33    79.86
2010-2014     83.47    78.74    81.14
2015-2019     84.38    79.79    82.09
