Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,e(x),e(x)Orig
NZL,0,0,0,0,1,3360.01,1891,1895,1,1,55.28,55.29
NZL,0,0,0,0,1,3360.01,1891,1895,1,2,58.08,58.09
NZL,0,0,0,0,1,3360.01,1891,1895,2,1,55.28,55.29
NZL,0,0,0,0,1,3360.01,1891,1895,2,2,58.08,58.09
NZL,0,0,0,0,1,3360.02,1896,1900,1,1,57.36,57.37
NZL,0,0,0,0,1,3360.02,1896,1900,1,2,59.92,59.95
NZL,0,0,0,0,1,3360.02,1896,1900,2,1,57.36,57.37
NZL,0,0,0,0,1,3360.02,1896,1900,2,2,59.92,59.95
NZL,0,0,0,0,1,3360.03,1901,1905,1,1,58.08,58.09
NZL,0,0,0,0,1,3360.03,1901,1905,1,2,60.53,60.55
NZL,0,0,0,0,1,3360.03,1901,1905,2,1,58.08,58.09
NZL,0,0,0,0,1,3360.03,1901,1905,2,2,60.53,60.55
NZL,0,0,0,0,1,3360.04,1906,1910,1,1,59.15,59.17
NZL,0,0,0,0,1,3360.04,1906,1910,1,2,61.75,61.76
NZL,0,0,0,0,1,3360.04,1906,1910,2,1,59.15,59.17
NZL,0,0,0,0,1,3360.04,1906,1910,2,2,61.75,61.76
NZL,0,0,0,0,1,3361,1911,1915,1,1,60.94,60.96
NZL,0,0,0,0,1,3361,1911,1915,1,2,63.47,63.48
NZL,0,0,0,0,1,3361,1911,1915,2,1,60.94,60.96
NZL,0,0,0,0,1,3361,1911,1915,2,2,63.47,63.48
NZL,0,0,0,0,1,379.1,1934,1938,1,1,65.44,65.46
NZL,0,0,0,0,1,379.1,1934,1938,1,2,68.44,68.45
NZL,0,0,0,0,1,379.1,1934,1938,2,1,65.44,65.46
NZL,0,0,0,0,1,379.1,1934,1938,2,2,68.44,68.45
NZL,0,0,0,0,1,992.1,1950,1952,1,1,67.18,67.19
NZL,0,0,0,0,1,992.1,1950,1952,1,2,71.28,71.29
NZL,0,0,0,0,1,992.1,1950,1952,2,1,67.18,67.19
NZL,0,0,0,0,1,992.1,1950,1952,2,2,71.28,71.29
NZL,0,0,0,0,1,993.3,1955,1957,1,1,68.02,68.2
NZL,0,0,0,0,1,993.3,1955,1957,1,2,72.97,73
NZL,0,0,0,0,1,993.3,1955,1957,2,1,68.02,68.2
NZL,0,0,0,0,1,993.3,1955,1957,2,2,72.97,73
NZL,0,0,0,0,1,994.2,1960,1962,1,1,68.43,68.44
NZL,0,0,0,0,1,994.2,1960,1962,1,2,73.75,73.75
NZL,0,0,0,0,1,994.2,1960,1962,2,1,68.43,68.44
NZL,0,0,0,0,1,994.2,1960,1962,2,2,73.75,73.75
NZL,0,0,0,0,1,682.39,1965,1965,4,1,68.1,68.2
